month,bnf_chemical_name,monthly_items
2019-12-01,Dexamfetamine,339
2019-12-01,Guanfacine,2
2019-12-01,Lisdexamfetamine,1152
2019-12-01,Methylphenidate,1738
2020-01-01,All chemicals,3703
2020-01-01,Atomoxetine,1
2020-01-01,Dexamfetamine,503
2020-01-01,Guanfacine,4
2020-01-01,Lisdexamfetamine,1400
2020-01-01,Methylphenidate,1795
2020-02-01,All chemicals,2589
2020-02-01,Dexamfetamine,246
2020-02-01,Guanfacine,4
2020-02-01,Lisdexamfetamine,880
2020-02-01,Methylphenidate,1459
2020-03-01,All chemicals,3725
2020-03-01,Atomoxetine,6
2020-03-01,Dexamfetamine,364
2020-03-01,Guanfacine,10
2020-03-01,Lisdexamfetamine,1418
2020-03-01,Methylphenidate,1927
2020-04-01,All chemicals,2399
2020-04-01,Atomoxetine,1
2020-04-01,Dexamfetamine,219
2020-04-01,Guanfacine,2
2020-04-01,Lisdexamfetamine,897
2020-04-01,Methylphenidate,1280
2020-05-01,All chemicals,2960
2020-05-01,Atomoxetine,5
2020-05-01,Dexamfetamine,366
2020-05-01,Guanfacine,4
2020-05-01,Lisdexamfetamine,1239
2020-05-01,Methylphenidate,1346
2020-06-01,All chemicals,2372
2020-06-01,Atomoxetine,1
2020-06-01,Dexamfetamine,179
2020-06-01,Guanfacine,2
2020-06-01,Lisdexamfetamine,911
2020-06-01,Methylphenidate,1279
2020-07-01,All chemicals,3382
2020-07-01,Atomoxetine,1
2020-07-01,Dexamfetamine,389
2020-07-01,Guanfacine,2
2020-07-01,Lisdexamfetamine,1338
2020-07-01,Methylphenidate,1652
2020-08-01,All chemicals,2398
2020-08-01,Atomoxetine,2
2020-08-01,Dexamfetamine,199
2020-08-01,Lisdexamfetamine,932
2020-08-01,Methylphenidate,1265
2020-09-01,All chemicals,5207
2020-09-01,Atomoxetine,7
2020-09-01,Dexamfetamine,474
2020-09-01,Guanfacine,5
2020-09-01,Lisdexamfetamine,2207
2020-09-01,Methylphenidate,2514
2020-10-01,All chemicals,6363
2020-10-01,Atomoxetine,5
2020-10-01,Dexamfetamine,719
2020-10-01,Guanfacine,7
2020-10-01,Lisdexamfetamine,2722
2020-10-01,Methylphenidate,2910
2020-11-01,All chemicals,3435
2020-11-01,Dexamfetamine,280
2020-11-01,Guanfacine,4
2020-11-01,Lisdexamfetamine,1228
2020-11-01,Methylphenidate,1923
2020-12-01,All chemicals,10133
2020-12-01,Atomoxetine,17
2020-12-01,Dexamfetamine,1247
2020-12-01,Guanfacine,5
