month,bnf_chemical_name,monthly_ddd_quantity
2024-04-01,All chemicals,196877.40000000002
2024-04-01,Atomoxetine,14043.550000000001
2024-04-01,Dexamfetamine,6131.333333333334
2024-04-01,Guanfacine,11241
2024-04-01,Lisdexamfetamine,36806.01666666667
2024-04-01,Methylphenidate,128655.50000000001
2024-05-01,All chemicals,215781.00416666668
2024-05-01,Atomoxetine,12889.737500000001
2024-05-01,Dexamfetamine,7782
2024-05-01,Guanfacine,12040
2024-05-01,Lisdexamfetamine,38444.333333333336
2024-05-01,Methylphenidate,144624.93333333335
2024-06-01,All chemicals,200056.87083333335
2024-06-01,Atomoxetine,11503.4375
2024-06-01,Dexamfetamine,5538
2024-06-01,Guanfacine,9835.333333333334
2024-06-01,Lisdexamfetamine,36358
2024-06-01,Methylphenidate,136822.1
2024-07-01,All chemicals,215313.6875
2024-07-01,Atomoxetine,12475.3875
2024-07-01,Dexamfetamine,5735
2024-07-01,Guanfacine,11832
2024-07-01,Lisdexamfetamine,46675.66666666667
2024-07-01,Methylphenidate,138595.63333333333
2024-08-01,All chemicals,195435.165
2024-08-01,Atomoxetine,12116.225
2024-08-01,Dexamfetamine,6092
2024-08-01,Guanfacine,11344.333333333334
2024-08-01,Lisdexamfetamine,40526.05333333334
2024-08-01,Methylphenidate,125356.55333333334
2024-09-01,All chemicals,216952.31916666668
2024-09-01,Atomoxetine,11764.4125
2024-09-01,Dexamfetamine,7674.333333333334
2024-09-01,Guanfacine,11990.666666666666
2024-09-01,Lisdexamfetamine,43335.10666666667
2024-09-01,Methylphenidate,142187.80000000002
2024-10-01,All chemicals,233115.78416666668
2024-10-01,Atomoxetine,14067.8375
2024-10-01,Dexamfetamine,6525.666666666667
2024-10-01,Guanfacine,10847.333333333334
2024-10-01,Lisdexamfetamine,49659.880000000005
2024-10-01,Methylphenidate,152015.06666666668
2024-11-01,All chemicals,227662.57
2024-11-01,Atomoxetine,13347.35
2024-11-01,Dexamfetamine,5270.666666666667
2024-11-01,Guanfacine,11690.666666666666
2024-11-01,Lisdexamfetamine,49246.05333333334
2024-11-01,Methylphenidate,148107.83333333334
2024-12-01,All chemicals,223018.625
2024-12-01,Atomoxetine,13231.125
2024-12-01,Dexamfetamine,5905.333333333334
2024-12-01,Guanfacine,12280.333333333334
2024-12-01,Lisdexamfetamine,49312
2024-12-01,Methylphenidate,142289.83333333334
2025-01-01,All chemicals,229072.63333333333
2025-01-01,Atomoxetine,14878.25
2025-01-01,Dexamfetamine,6229
2025-01-01,Guanfacine,12323.333333333334
2025-01-01,Lisdexamfetamine,48995.66666666667
2025-01-01,Methylphenidate,146646.38333333333
2025-02-01,All chemicals,199668.44166666668
2025-02-01,Atomoxetine,11643.875
2025-02-01,Dexamfetamine,4921.666666666667
2025-02-01,Guanfacine,11413.666666666666
2025-02-01,Lisdexamfetamine,45648
2025-02-01,Methylphenidate,126041.23333333334
2025-03-01,All chemicals,216343.25
2025-03-01,Atomoxetine,12985.45
2025-03-01,Dexamfetamine,6857
2025-03-01,Guanfacine,10162
2025-03-01,Lisdexamfetamine,49277
2025-03-01,Methylphenidate,137061.80000000002
2025-04-01,All chemicals,208012.44166666668
2025-04-01,Atomoxetine,12943.575
2025-04-01,Dexamfetamine,4619.666666666667
2025-04-01,Guanfacine,13111.333333333334
2025-04-01,Lisdexamfetamine,48940.66666666667
2025-04-01,Methylphenidate,128397.20000000001
2025-05-01,All chemicals,199094.49416666667
2025-05-01,Atomoxetine,11951.9875
2025-05-01,Dexamfetamine,4546.666666666667
2025-05-01,Guanfacine,11587.666666666666
2025-05-01,Lisdexamfetamine,42867.77333333334
2025-05-01,Methylphenidate,128140.40000000001
2025-06-01,All chemicals,180458.59583333335
2025-06-01,Atomoxetine,10109.0125
2025-06-01,Dexamfetamine,6483.666666666667
2025-06-01,Guanfacine,11435.666666666666
2025-06-01,Lisdexamfetamine,36718
2025-06-01,Methylphenidate,115712.25000000001
2025-07-01,All chemicals,187582.60333333333
2025-07-01,Atomoxetine,10855.550000000001
2025-07-01,Dexamfetamine,5372.666666666667
2025-07-01,Guanfacine,10492.333333333334
2025-07-01,Lisdexamfetamine,42425
2025-07-01,Methylphenidate,118437.05333333334
2025-08-01,All chemicals,154427.73750000002
