year,dimension_code,dimension_description,measure_category,measure_sub_category,measure_value
2013-14,F90.0,Disturbance of activity and attention,Age,55_59,32
2013-14,F90.0,Disturbance of activity and attention,Age,60_64,14
2013-14,F90.0,Disturbance of activity and attention,Age,65_69,12
2013-14,F90.0,Disturbance of activity and attention,Age,70_74,7
2013-14,F90.0,Disturbance of activity and attention,Age,75_79,2
2013-14,F90.0,Disturbance of activity and attention,Age,80_84,1
2013-14,F90.0,Disturbance of activity and attention,Age,85_89,0
2013-14,F90.0,Disturbance of activity and attention,Age,90+,1
2013-14,F90.1,Hyperkinetic conduct disorder,Gender,Male,33
2013-14,F90.1,Hyperkinetic conduct disorder,Gender,Female,16
2013-14,F90.1,Hyperkinetic conduct disorder,Gender,Unknown,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,0,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,1_4,1
2013-14,F90.1,Hyperkinetic conduct disorder,Age,5_9,4
2013-14,F90.1,Hyperkinetic conduct disorder,Age,10_14,6
2013-14,F90.1,Hyperkinetic conduct disorder,Age,15,2
2013-14,F90.1,Hyperkinetic conduct disorder,Age,16,6
2013-14,F90.1,Hyperkinetic conduct disorder,Age,17,4
2013-14,F90.1,Hyperkinetic conduct disorder,Age,18,2
2013-14,F90.1,Hyperkinetic conduct disorder,Age,19,2
2013-14,F90.1,Hyperkinetic conduct disorder,Age,20_24,9
2013-14,F90.1,Hyperkinetic conduct disorder,Age,25_29,7
2013-14,F90.1,Hyperkinetic conduct disorder,Age,30_34,1
2013-14,F90.1,Hyperkinetic conduct disorder,Age,35_39,1
2013-14,F90.1,Hyperkinetic conduct disorder,Age,40_44,2
2013-14,F90.1,Hyperkinetic conduct disorder,Age,45_49,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,50_54,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,55_59,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,60_64,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,65_69,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,70_74,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,75_79,2
2013-14,F90.1,Hyperkinetic conduct disorder,Age,80_84,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,85_89,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,90+,0
2013-14,F90.8,Other hyperkinetic disorders,Gender,Male,37
2013-14,F90.8,Other hyperkinetic disorders,Gender,Female,11
2013-14,F90.8,Other hyperkinetic disorders,Gender,Unknown,0
2013-14,F90.8,Other hyperkinetic disorders,Age,0,0
2013-14,F90.8,Other hyperkinetic disorders,Age,1_4,3
2013-14,F90.8,Other hyperkinetic disorders,Age,5_9,3
2013-14,F90.8,Other hyperkinetic disorders,Age,10_14,29
2013-14,F90.8,Other hyperkinetic disorders,Age,15,0
2013-14,F90.8,Other hyperkinetic disorders,Age,16,1
2013-14,F90.8,Other hyperkinetic disorders,Age,17,1
2013-14,F90.8,Other hyperkinetic disorders,Age,18,3
2013-14,F90.8,Other hyperkinetic disorders,Age,19,0
2013-14,F90.8,Other hyperkinetic disorders,Age,20_24,3
2013-14,F90.8,Other hyperkinetic disorders,Age,25_29,0
2013-14,F90.8,Other hyperkinetic disorders,Age,30_34,1
2013-14,F90.8,Other hyperkinetic disorders,Age,35_39,0
2013-14,F90.8,Other hyperkinetic disorders,Age,40_44,1
2013-14,F90.8,Other hyperkinetic disorders,Age,45_49,1
2013-14,F90.8,Other hyperkinetic disorders,Age,50_54,0
2013-14,F90.8,Other hyperkinetic disorders,Age,55_59,0
2013-14,F90.8,Other hyperkinetic disorders,Age,60_64,1
2013-14,F90.8,Other hyperkinetic disorders,Age,65_69,0
2013-14,F90.8,Other hyperkinetic disorders,Age,70_74,0
2013-14,F90.8,Other hyperkinetic disorders,Age,75_79,0
2013-14,F90.8,Other hyperkinetic disorders,Age,80_84,0
2013-14,F90.8,Other hyperkinetic disorders,Age,85_89,1
2013-14,F90.8,Other hyperkinetic disorders,Age,90+,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Gender,Male,265
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Gender,Female,122
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Gender,Unknown,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,0,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,1_4,59
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,5_9,72
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,10_14,60
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,15,9
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,16,14
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,17,11
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,18,16
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,19,12
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,20_24,71
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,25_29,14
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,30_34,7
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,35_39,8
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,40_44,11
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,45_49,4
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,50_54,1
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,55_59,2
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,60_64,6
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,65_69,2
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,70_74,3
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,75_79,1
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,80_84,3
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,85_89,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,90+,1
