month,bnf_chemical_name,monthly_items
2019-03-01,All chemicals,111492
2019-03-01,Atomoxetine,9386
2019-03-01,Dexamfetamine,3255
2019-03-01,Guanfacine,1360
2019-03-01,Lisdexamfetamine,11023
2019-03-01,Methylphenidate,86468
2019-04-01,All chemicals,105758
2019-04-01,Atomoxetine,8887
2019-04-01,Dexamfetamine,3345
2019-04-01,Guanfacine,1368
2019-04-01,Lisdexamfetamine,10724
2019-04-01,Methylphenidate,81434
2019-05-01,All chemicals,116285
2019-05-01,Atomoxetine,9811
2019-05-01,Dexamfetamine,3607
2019-05-01,Guanfacine,1573
2019-05-01,Lisdexamfetamine,11941
2019-05-01,Methylphenidate,89353
2019-06-01,All chemicals,110683
2019-06-01,Atomoxetine,9195
2019-06-01,Dexamfetamine,3338
2019-06-01,Guanfacine,1587
2019-06-01,Lisdexamfetamine,11540
2019-06-01,Methylphenidate,85023
2019-07-01,All chemicals,110895
2019-07-01,Atomoxetine,9425
2019-07-01,Dexamfetamine,3441
2019-07-01,Guanfacine,1698
2019-07-01,Lisdexamfetamine,11777
2019-07-01,Methylphenidate,84554
2019-08-01,All chemicals,109728
2019-08-01,Atomoxetine,9630
2019-08-01,Dexamfetamine,3613
2019-08-01,Guanfacine,1697
2019-08-01,Lisdexamfetamine,12124
2019-08-01,Methylphenidate,82664
2019-09-01,All chemicals,113090
2019-09-01,Atomoxetine,9424
2019-09-01,Dexamfetamine,3392
2019-09-01,Guanfacine,1718
2019-09-01,Lisdexamfetamine,12382
2019-09-01,Methylphenidate,86174
2019-10-01,All chemicals,119177
2019-10-01,Atomoxetine,9997
2019-10-01,Dexamfetamine,3637
2019-10-01,Guanfacine,1870
2019-10-01,Lisdexamfetamine,13521
2019-10-01,Methylphenidate,90152
2019-11-01,All chemicals,116677
2019-11-01,Atomoxetine,9421
2019-11-01,Dexamfetamine,3512
2019-11-01,Guanfacine,1906
2019-11-01,Lisdexamfetamine,13162
2019-11-01,Methylphenidate,88676
2019-12-01,All chemicals,118020
2019-12-01,Atomoxetine,9744
2019-12-01,Dexamfetamine,3595
2019-12-01,Guanfacine,2017
2019-12-01,Lisdexamfetamine,13644
2019-12-01,Methylphenidate,89020
2020-01-01,All chemicals,125536
2020-01-01,Atomoxetine,10130
2020-01-01,Dexamfetamine,3747
2020-01-01,Guanfacine,2277
2020-01-01,Lisdexamfetamine,15181
2020-01-01,Methylphenidate,94201
2020-02-01,All chemicals,114132
2020-02-01,Atomoxetine,9134
2020-02-01,Dexamfetamine,3484
2020-02-01,Guanfacine,2088
2020-02-01,Lisdexamfetamine,13856
2020-02-01,Methylphenidate,85570
2020-03-01,All chemicals,131914
2020-03-01,Atomoxetine,10562
2020-03-01,Dexamfetamine,3867
2020-03-01,Guanfacine,2526
2020-03-01,Lisdexamfetamine,16351
2020-03-01,Methylphenidate,98608
2020-04-01,All chemicals,118815
2020-04-01,Atomoxetine,10158
2020-04-01,Dexamfetamine,3810
2020-04-01,Guanfacine,2435
2020-04-01,Lisdexamfetamine,15250
2020-04-01,Methylphenidate,87162
2020-05-01,All chemicals,112971
2020-05-01,Atomoxetine,9665
2020-05-01,Dexamfetamine,3708
2020-05-01,Guanfacine,2366
2020-05-01,Lisdexamfetamine,14905
2020-05-01,Methylphenidate,82327
2020-06-01,All chemicals,117745
2020-06-01,Atomoxetine,9955
2020-06-01,Dexamfetamine,3811
2020-06-01,Guanfacine,2613
2020-06-01,Lisdexamfetamine,15435
2020-06-01,Methylphenidate,85931
2020-07-01,All chemicals,121825
2020-07-01,Atomoxetine,10396
2020-07-01,Dexamfetamine,4044
2020-07-01,Guanfacine,2784
2020-07-01,Lisdexamfetamine,16400
2020-07-01,Methylphenidate,88201
2020-08-01,All chemicals,109448
2020-08-01,Atomoxetine,9222
2020-08-01,Dexamfetamine,3660
2020-08-01,Guanfacine,2428
2020-08-01,Lisdexamfetamine,15009
2020-08-01,Methylphenidate,79129
2020-09-01,All chemicals,126197
2020-09-01,Atomoxetine,10019
2020-09-01,Dexamfetamine,4002
2020-09-01,Guanfacine,2688
2020-09-01,Lisdexamfetamine,17077
2020-09-01,Methylphenidate,92411
2020-10-01,All chemicals,129496
2020-10-01,Atomoxetine,10440
2020-10-01,Dexamfetamine,4110
2020-10-01,Guanfacine,2825
2020-10-01,Lisdexamfetamine,17711
2020-10-01,Methylphenidate,94410
2020-11-01,All chemicals,126744
2020-11-01,Atomoxetine,9966
2020-11-01,Dexamfetamine,3990
2020-11-01,Guanfacine,2810
2020-11-01,Lisdexamfetamine,17626
2020-11-01,Methylphenidate,92352
2020-12-01,All chemicals,132167
2020-12-01,Atomoxetine,10801
2020-12-01,Dexamfetamine,4332
2020-12-01,Guanfacine,3019
2020-12-01,Lisdexamfetamine,18768
2020-12-01,Methylphenidate,95247
2021-01-01,All chemicals,126443
2021-01-01,Atomoxetine,10233
2021-01-01,Dexamfetamine,4099
2021-01-01,Guanfacine,2920
2021-01-01,Lisdexamfetamine,18176
2021-01-01,Methylphenidate,91015
2021-02-01,All chemicals,118300
2021-02-01,Atomoxetine,9711
2021-02-01,Dexamfetamine,3974
2021-02-01,Guanfacine,2742
2021-02-01,Lisdexamfetamine,17245
2021-02-01,Methylphenidate,84628
2021-03-01,All chemicals,137372
2021-03-01,Atomoxetine,10796
2021-03-01,Dexamfetamine,4525
2021-03-01,Guanfacine,3258
2021-03-01,Lisdexamfetamine,20268
2021-03-01,Methylphenidate,98525
2021-04-01,All chemicals,133793
2021-04-01,Atomoxetine,10604
2021-04-01,Dexamfetamine,4466
2021-04-01,Guanfacine,3169
2021-04-01,Lisdexamfetamine,19958
2021-04-01,Methylphenidate,95596
2021-05-01,All chemicals,131077
2021-05-01,Atomoxetine,10068
2021-05-01,Dexamfetamine,4366
2021-05-01,Guanfacine,3110
2021-05-01,Lisdexamfetamine,19782
2021-05-01,Methylphenidate,93751
2021-06-01,All chemicals,139077
2021-06-01,Atomoxetine,10904
2021-06-01,Dexamfetamine,4657
2021-06-01,Guanfacine,3352
2021-06-01,Lisdexamfetamine,21282
2021-06-01,Methylphenidate,98882
2021-07-01,All chemicals,137749
2021-07-01,Atomoxetine,10817
2021-07-01,Dexamfetamine,4737
2021-07-01,Guanfacine,3422
2021-07-01,Lisdexamfetamine,21526
2021-07-01,Methylphenidate,97247
2021-08-01,All chemicals,126651
2021-08-01,Atomoxetine,10189
2021-08-01,Dexamfetamine,4615
2021-08-01,Guanfacine,3152
2021-08-01,Lisdexamfetamine,20342
2021-08-01,Methylphenidate,88353
2021-09-01,All chemicals,141396
2021-09-01,Atomoxetine,10860
2021-09-01,Dexamfetamine,4950
2021-09-01,Guanfacine,3538
2021-09-01,Lisdexamfetamine,22542
2021-09-01,Methylphenidate,99506
2021-10-01,All chemicals,137410
2021-10-01,Atomoxetine,10400
2021-10-01,Dexamfetamine,4809
2021-10-01,Guanfacine,3385
2021-10-01,Lisdexamfetamine,22356
2021-10-01,Methylphenidate,96460
2021-11-01,All chemicals,144892
2021-11-01,Atomoxetine,10912
2021-11-01,Dexamfetamine,5149
2021-11-01,Guanfacine,3599
2021-11-01,Lisdexamfetamine,23872
2021-11-01,Methylphenidate,101360
2021-12-01,All chemicals,149529
2021-12-01,Atomoxetine,11214
2021-12-01,Dexamfetamine,5323
2021-12-01,Guanfacine,3958
2021-12-01,Lisdexamfetamine,25165
2021-12-01,Methylphenidate,103869
2022-01-01,All chemicals,148913
2022-01-01,Atomoxetine,11073
2022-01-01,Dexamfetamine,5533
2022-01-01,Guanfacine,3815
2022-01-01,Lisdexamfetamine,25361
2022-01-01,Methylphenidate,103131
2022-02-01,All chemicals,137171
2022-02-01,Atomoxetine,10272
2022-02-01,Dexamfetamine,5114
2022-02-01,Guanfacine,3523
2022-02-01,Lisdexamfetamine,23911
2022-02-01,Methylphenidate,94351
2022-03-01,All chemicals,160921
2022-03-01,Atomoxetine,11750
2022-03-01,Dexamfetamine,6005
2022-03-01,Guanfacine,4173
2022-03-01,Lisdexamfetamine,28448
2022-03-01,Methylphenidate,110545
2022-04-01,All chemicals,148348
2022-04-01,Atomoxetine,11087
2022-04-01,Dexamfetamine,5705
2022-04-01,Guanfacine,3890
2022-04-01,Lisdexamfetamine,26999
2022-04-01,Methylphenidate,100667
2022-05-01,All chemicals,159520
2022-05-01,Atomoxetine,11469
2022-05-01,Dexamfetamine,6100
2022-05-01,Guanfacine,4136
2022-05-01,Lisdexamfetamine,29318
2022-05-01,Methylphenidate,108497
2022-06-01,All chemicals,161365
2022-06-01,Atomoxetine,11511
2022-06-01,Dexamfetamine,6148
2022-06-01,Guanfacine,3975
2022-06-01,Lisdexamfetamine,30352
2022-06-01,Methylphenidate,109379
2022-07-01,All chemicals,157395
2022-07-01,Atomoxetine,11391
2022-07-01,Dexamfetamine,6215
2022-07-01,Guanfacine,4094
2022-07-01,Lisdexamfetamine,30015
2022-07-01,Methylphenidate,105680
2022-08-01,All chemicals,151600
2022-08-01,Atomoxetine,11507
2022-08-01,Dexamfetamine,6426
2022-08-01,Guanfacine,4066
2022-08-01,Lisdexamfetamine,28324
2022-08-01,Methylphenidate,101277
2022-09-01,All chemicals,166540
2022-09-01,Atomoxetine,11830
2022-09-01,Dexamfetamine,6709
2022-09-01,Guanfacine,4172
2022-09-01,Lisdexamfetamine,33497
2022-09-01,Methylphenidate,110332
2022-10-01,All chemicals,164341
2022-10-01,Atomoxetine,11543
2022-10-01,Dexamfetamine,6847
2022-10-01,Guanfacine,4282
2022-10-01,Lisdexamfetamine,33286
2022-10-01,Methylphenidate,108383
2022-11-01,All chemicals,171476
2022-11-01,Atomoxetine,12026
2022-11-01,Dexamfetamine,6815
2022-11-01,Guanfacine,4566
2022-11-01,Lisdexamfetamine,34178
2022-11-01,Methylphenidate,113891
2022-12-01,All chemicals,166349
2022-12-01,Atomoxetine,11969
2022-12-01,Dexamfetamine,6866
2022-12-01,Guanfacine,4498
2022-12-01,Lisdexamfetamine,34585
2022-12-01,Methylphenidate,108431
2023-01-01,All chemicals,171397
2023-01-01,Atomoxetine,12254
2023-01-01,Dexamfetamine,6584
2023-01-01,Guanfacine,4647
2023-01-01,Lisdexamfetamine,36018
2023-01-01,Methylphenidate,111894
2023-02-01,All chemicals,165778
2023-02-01,Atomoxetine,11444
2023-02-01,Dexamfetamine,7147
2023-02-01,Guanfacine,4267
2023-02-01,Lisdexamfetamine,34050
2023-02-01,Methylphenidate,108870
2023-03-01,All chemicals,193629
2023-03-01,Atomoxetine,12990
2023-03-01,Dexamfetamine,8106
2023-03-01,Guanfacine,5064
2023-03-01,Lisdexamfetamine,40345
2023-03-01,Methylphenidate,127124
2023-04-01,All chemicals,171555
2023-04-01,Atomoxetine,11626
2023-04-01,Dexamfetamine,7645
2023-04-01,Guanfacine,4548
2023-04-01,Lisdexamfetamine,37942
2023-04-01,Methylphenidate,109794
2023-05-01,All chemicals,189379
2023-05-01,Atomoxetine,12361
2023-05-01,Dexamfetamine,8346
2023-05-01,Guanfacine,5021
2023-05-01,Lisdexamfetamine,42066
2023-05-01,Methylphenidate,121585
2023-06-01,All chemicals,193601
2023-06-01,Atomoxetine,12159
2023-06-01,Dexamfetamine,8599
2023-06-01,Guanfacine,5252
2023-06-01,Lisdexamfetamine,43086
2023-06-01,Methylphenidate,124505
2023-07-01,All chemicals,189469
2023-07-01,Atomoxetine,11747
2023-07-01,Dexamfetamine,8658
2023-07-01,Guanfacine,5230
2023-07-01,Lisdexamfetamine,43486
2023-07-01,Methylphenidate,120348
2023-08-01,All chemicals,183523
2023-08-01,Atomoxetine,10890
2023-08-01,Dexamfetamine,8892
2023-08-01,Guanfacine,5189
2023-08-01,Lisdexamfetamine,43673
2023-08-01,Methylphenidate,114879
2023-09-01,All chemicals,189612
2023-09-01,Atomoxetine,9906
2023-09-01,Dexamfetamine,8570
2023-09-01,Guanfacine,5346
2023-09-01,Lisdexamfetamine,43247
2023-09-01,Methylphenidate,122543
2023-10-01,All chemicals,189034
2023-10-01,Atomoxetine,10899
2023-10-01,Dexamfetamine,10092
2023-10-01,Guanfacine,4888
2023-10-01,Lisdexamfetamine,35471
2023-10-01,Methylphenidate,127684
2023-11-01,All chemicals,191629
2023-11-01,Atomoxetine,11967
2023-11-01,Dexamfetamine,11799
2023-11-01,Guanfacine,3347
2023-11-01,Lisdexamfetamine,34729
