estimate_year,source_workbook,icb_name,population
2013,ons_pop_estimates_2011-2022.xlsx,NHS Cheshire and Merseyside Integrated Care Board,2421641
2013,ons_pop_estimates_2011-2022.xlsx,NHS Cornwall and the Isles of Scilly Integrated Care Board,542275
2013,ons_pop_estimates_2011-2022.xlsx,NHS Coventry and Warwickshire Integrated Care Board,875324
2013,ons_pop_estimates_2011-2022.xlsx,NHS Derby and Derbyshire Integrated Care Board,1027814
2013,ons_pop_estimates_2011-2022.xlsx,NHS Devon Integrated Care Board,1146900
2013,ons_pop_estimates_2011-2022.xlsx,NHS Dorset Integrated Care Board,753134
2013,ons_pop_estimates_2011-2022.xlsx,NHS Frimley Integrated Care Board,724276
2013,ons_pop_estimates_2011-2022.xlsx,NHS Gloucestershire Integrated Care Board,605213
2013,ons_pop_estimates_2011-2022.xlsx,NHS Greater Manchester Integrated Care Board,2714958
2013,ons_pop_estimates_2011-2022.xlsx,NHS Hampshire and Isle of Wight Integrated Care Board,1756928
2013,ons_pop_estimates_2011-2022.xlsx,NHS Herefordshire and Worcestershire Integrated Care Board,758618
2013,ons_pop_estimates_2011-2022.xlsx,NHS Hertfordshire and West Essex Integrated Care Board,1420075
2013,ons_pop_estimates_2011-2022.xlsx,NHS Humber and North Yorkshire Integrated Care Board,1671207
2013,ons_pop_estimates_2011-2022.xlsx,NHS Kent and Medway Integrated Care Board,1761105
2013,ons_pop_estimates_2011-2022.xlsx,NHS Lancashire and South Cumbria Integrated Care Board,1657125
2013,ons_pop_estimates_2011-2022.xlsx,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",1035566
2013,ons_pop_estimates_2011-2022.xlsx,NHS Lincolnshire Integrated Care Board,725901
2013,ons_pop_estimates_2011-2022.xlsx,NHS Mid and South Essex Integrated Care Board,1145607
2013,ons_pop_estimates_2011-2022.xlsx,NHS Norfolk and Waveney Integrated Care Board,986261
2013,ons_pop_estimates_2011-2022.xlsx,NHS North Central London Integrated Care Board,1389371
2013,ons_pop_estimates_2011-2022.xlsx,NHS North East London Integrated Care Board,1847122
2013,ons_pop_estimates_2011-2022.xlsx,NHS North East and North Cumbria Integrated Care Board,2920804
2013,ons_pop_estimates_2011-2022.xlsx,NHS North West London Integrated Care Board,2032328
2013,ons_pop_estimates_2011-2022.xlsx,NHS Northamptonshire Integrated Care Board,711487
2013,ons_pop_estimates_2011-2022.xlsx,NHS Nottingham and Nottinghamshire Integrated Care Board,1103800
2013,ons_pop_estimates_2011-2022.xlsx,"NHS Shropshire, Telford and Wrekin Integrated Care Board",477195
2013,ons_pop_estimates_2011-2022.xlsx,NHS Somerset Integrated Care Board,539465
2013,ons_pop_estimates_2011-2022.xlsx,NHS South East London Integrated Care Board,1717086
2013,ons_pop_estimates_2011-2022.xlsx,NHS South West London Integrated Care Board,1453080
2013,ons_pop_estimates_2011-2022.xlsx,NHS South Yorkshire Integrated Care Board,1352510
